"X","event_time","event_type","product_id","category_id","category_code","brand","price","user_id","user_session"
7414178,"2020-04-05 15:28:15 UTC","cart",4804056,2232732079706079232,"sport.bicycle","apple",169.61,544286454,"24e33cf1-925c-446c-9c8e-c4583ceae961"
7817246,"2020-04-05 20:32:58 UTC","view",100054848,2232732090980368640,"furniture.living_room.sofa","htw",514.61,635824804,"f339414e-f663-41fb-8c7a-efac73b69cfa"
23582723,"2020-04-14 08:16:25 UTC","view",47000043,2053013552637149440,"computers.peripherals.mouse","levenhuk",84.92,636729182,"5923db13-9400-445a-bbf7-7bdc88e0dfe1"
65476507,"2020-04-30 13:40:53 UTC","view",1802091,2232732099754852864,"appliances.personal.massager","artel",169.73,649570291,"f98a4984-f9f0-49c0-925a-6489b52485a8"
20675983,"2020-04-12 19:45:52 UTC","view",26400298,2053013553056579840,"computers.peripherals.printer","lucente",115.32,588816898,"ab06486d-13f5-48c9-8d56-f0364385cb3c"
20996773,"2020-04-13 04:33:15 UTC","view",12600003,2232732101164139008,"appliances.environment.vacuum","maxwell",74.36,585952614,"03bdf35f-6130-4406-b77b-31ee2425b359"
51574182,"2020-04-25 09:51:42 UTC","cart",10900404,2232732105912091392,"appliances.kitchen.mixer","arg",30.86,646956268,"2a20a332-4f0b-4598-8899-42e22d8a5491"
51909151,"2020-04-25 12:06:03 UTC","cart",8801091,2053013560530830080,"electronics.camera.video","nokia",21.88,550466511,"c365d7f7-3b46-4a77-a3b5-4a94c750bdbb"
39761648,"2020-04-20 16:41:39 UTC","view",1004258,2232732093077520640,"construction.tools.light","apple",767.88,615649518,"467a8cab-344f-4324-9fca-a81675588574"
2378814,"2020-04-02 12:15:51 UTC","view",12202030,2053013553325015296,"appliances.kitchen.toster","trek",330.77,564735150,"80b328ba-e28c-47bf-8a16-30bc0f729a0f"
8903558,"2020-04-06 14:53:26 UTC","view",100003841,2232732091307524352,"appliances.kitchen.refrigerators","midea",221.32,618737774,"b10e7710-b67e-4131-9604-3c0036adf3bd"
62360139,"2020-04-29 10:53:25 UTC","view",3200173,2232732102019777024,"apparel.shoes.keds","panasonic",51.97,530769577,"ca1e2489-66b2-409a-a61d-7c4eb5c4296e"
15090711,"2020-04-10 07:36:45 UTC","view",1801766,2232732099754852864,"appliances.personal.massager","artel",168.34,585679941,"abd9224b-1eb4-41e7-8750-9f8502aa1c88"
55459911,"2020-04-26 17:29:01 UTC","view",1005074,2232732093077520640,"construction.tools.light","samsung",1029.09,638421528,"3d2721ad-722a-4759-ac40-9ea9f082e8a5"
32606068,"2020-04-17 17:58:58 UTC","view",1005118,2232732093077520640,"construction.tools.light","apple",922.65,643113065,"723d3c66-0bb5-40de-8ea6-e811f74ff308"
57324332,"2020-04-27 12:12:14 UTC","view",1005212,2232732093077520640,"construction.tools.light","samsung",167.8,641184294,"a9324acc-9fd3-4bcc-ad29-62330c41c7e8"
10579251,"2020-04-07 15:43:33 UTC","view",26010663,2053013561059312384,"electronics.tablet","",1.16,601101021,"a7f3a2fd-85ad-4002-b8fe-2c3cde322497"
45279754,"2020-04-23 02:14:08 UTC","view",100119386,2232732093077520640,"construction.tools.light","samsung",1275.94,532024558,"e83bfd4f-cae3-4705-be19-5c252457c1e8"
61868687,"2020-04-29 07:43:31 UTC","view",1801690,2232732099754852864,"appliances.personal.massager","samsung",362.43,648910422,"7d7bba1b-e444-4edf-86ec-efe682872511"
23495862,"2020-04-14 07:28:58 UTC","view",3100871,2232732091391410432,"appliances.kitchen.blender","vitek",36.01,523696433,"9276efc6-e4fb-4c2b-999f-f966294e55c6"
62860568,"2020-04-29 14:26:16 UTC","view",6201029,2232732091961835776,"appliances.environment.air_heater","",262.56,515715426,"869496d2-035d-4ca6-9c76-7eb124a045d5"
43078921,"2020-04-22 05:52:42 UTC","view",4804153,2232732079706079232,"sport.bicycle","olmio",42.51,642532375,"fcb257df-152c-4fe5-a73f-f6e9c3d7ce31"
17646058,"2020-04-11 11:41:26 UTC","view",100122281,2232732124526411776,"apparel.shoes","bartek",74.65,630189378,"6a65bc0e-50d3-4562-b91a-a7616df306bc"
62101968,"2020-04-29 09:13:10 UTC","view",12707310,2053013553199186176,"","",247.88,646984333,"ffbd17e1-751f-4835-a101-64c7bdd43603"
28379287,"2020-04-16 08:21:21 UTC","view",1004836,2232732093077520640,"construction.tools.light","samsung",209.01,554648452,"d827b309-1dcc-4c59-af1f-d4db7cc7eea6"
1351953,"2020-04-01 17:45:48 UTC","view",100120437,2053013554658803968,"electronics.audio.headphone","asus",231.59,547776100,"9addbc90-de9b-417d-bea8-55c46fa27c67"
50840702,"2020-04-25 05:19:10 UTC","view",100008049,2232732099436085760,"construction.tools.welding","a-case",4.61,646035394,"162f7cc3-539d-4799-8a1a-c775f16979c7"
22285645,"2020-04-13 15:04:01 UTC","view",100142959,2232732093077520640,"construction.tools.light","samsung",1544.16,514030469,"c425d3d2-61a7-44cb-9175-db9de8fa894d"
18979123,"2020-04-12 05:23:22 UTC","view",100052628,2232732103101907456,"electronics.clocks","huawei",231.64,513542627,"6701fbf1-fd9e-4822-84d9-a2c86cfe905d"
57368550,"2020-04-27 12:33:03 UTC","view",2601987,2232732101835227648,"","artel",231.41,527253651,"a5ac572f-c199-48aa-9f2c-e4a335af9b78"
45683308,"2020-04-23 06:26:02 UTC","cart",50900112,2053013554096767232,"computers.components.power_supply","qvs",4.14,638912211,"6f3f8197-3126-480d-ac91-507f1cf6c90c"
31692483,"2020-04-17 11:52:38 UTC","view",12100430,2.053013555397e+18,"appliances.kitchen.mixer","ninebot",424.46,642951688,"b25dbe8f-8829-45a8-a868-5bcfd7d4f645"
19686590,"2020-04-12 11:18:16 UTC","view",2900626,2232732102103663104,"furniture.bedroom.blanket","redmond",77.2,603136348,"c0e0f647-4fc4-4d92-8413-290d39d08ee6"
63522924,"2020-04-29 18:31:36 UTC","view",14701532,2053013552570040576,"electronics.video.projector","",185.08,583765587,"bb0be7e8-4bae-42cc-9298-bc84e9f3c1fc"
53515137,"2020-04-26 04:46:21 UTC","view",5301764,2232732089269092608,"","rowenta",692.4,522767305,"a822141f-3959-4a37-8232-7c98b574d936"
31784792,"2020-04-17 12:31:09 UTC","view",1005121,2232732093077520640,"construction.tools.light","apple",919.93,617861729,"4c80485f-2a4e-40c4-94f7-5cdf9340a651"
14238019,"2020-04-09 17:07:45 UTC","cart",1307568,2053013554658803968,"electronics.audio.headphone","acer",617.75,516280760,"22cf4166-e95f-4aa6-96b6-c64128fff02c"
46230734,"2020-04-23 10:08:29 UTC","view",100180361,2232732074815521792,"computers.peripherals.mouse","ergo",88.81,635207781,"ab43156c-f634-4755-a45a-7b3f47f7c866"
1732896,"2020-04-02 05:03:31 UTC","cart",1005017,2232732093077520640,"construction.tools.light","huawei",89.55,532087376,"fb905dc2-2cd4-48ed-9a28-69c4c08b479b"
58924075,"2020-04-28 05:44:16 UTC","view",19700113,2232732109796016896,"apparel.shirt","nestogen",7.95,522774381,"bd8e5e6e-bfa2-4617-92b2-b41448019e31"
39419430,"2020-04-20 14:29:39 UTC","view",3500132,2232732102539870720,"","kenwood",373.21,533766249,"d5607d15-625b-4d85-a576-424043df3230"
59626312,"2020-04-28 10:48:06 UTC","view",100221216,2053013555069845760,"appliances.kitchen.mixer","decathlon",34.49,619734022,"03cc9deb-887c-4bfd-8b75-cc620cd95c3a"
4934947,"2020-04-04 05:12:32 UTC","view",7600065,2232732103982711296,"furniture.kitchen.table","tp-link",17.74,605810626,"d78a91ef-af9d-4407-96d4-8feee948996f"
25631547,"2020-04-15 07:00:21 UTC","view",1401872,2053013563835941632,"appliances.kitchen.refrigerators","netechnics",746.45,527121174,"8c73f33e-a764-4e7d-b5a8-a990206b6f76"
59109849,"2020-04-28 07:14:24 UTC","view",2601362,2232732101835227648,"","gefest",386.08,645015704,"ed3dc3b0-6a93-470b-b7f3-6aca3676279e"
52590239,"2020-04-25 16:51:34 UTC","view",1004856,2232732093077520640,"construction.tools.light","samsung",128.42,647127211,"c39605dd-e247-4754-8ae6-ddc69a2e2568"
20486918,"2020-04-12 17:54:51 UTC","view",28715553,2232732074815521792,"computers.peripherals.mouse","cavaletto",106.82,514305672,"8bc54ff4-0543-45be-bb64-c832f704a3a9"
5271221,"2020-04-04 08:50:26 UTC","view",100142939,2053013558752444928,"auto.accessories.compressor","",444.03,636546130,"103ed0df-4aee-4cea-a218-7048a80964df"
45611917,"2020-04-23 05:49:03 UTC","view",100062006,2053013551932506368,"construction.tools.drill","adidas",65.69,513217248,"f96dc33d-dc4b-41b1-8552-04044ba82ae1"
65124258,"2020-04-30 11:07:43 UTC","view",100023426,2053013554658803968,"electronics.audio.headphone","hp",848.9,588001828,"7583fcb5-d851-4a1b-8a11-51f00c28f7f6"
48471913,"2020-04-24 07:40:41 UTC","view",100143066,2053013553325015296,"appliances.kitchen.toster","pride",756.78,585829873,"dc8c6fa4-abd6-4004-8f55-c71adb193cdc"
41967395,"2020-04-21 15:43:04 UTC","view",12202662,2053013553325015296,"appliances.kitchen.toster","micio",95.3,515837698,"536f8b31-5e67-4641-bf19-3b280f8f7c38"
